altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0,3,11,Chicago,186,True,K3_FULL,13194,2019-05-16 13:56:14,41.891795,,-87.658751,60642,Ogden Ave & Race Ave,,Ogden Ave & Race Ave,IN_SERVICE,1,In Service,False,15
0,11,4,Chicago,188,True,K3_FULL,13295,2019-05-16 13:54:36,41.92533,,-87.6658,60614,Greenview Ave & Fullerton Ave,,Greenview Ave & Fullerton Ave,IN_SERVICE,1,In Service,False,15
0,12,3,Chicago,190,True,K3_FULL,13298,2019-05-16 13:55:05,41.928773,,-87.663913,60614,Southport Ave & Wrightwood Ave,,Southport Ave & Wrightwood Ave,IN_SERVICE,1,In Service,False,15
0,13,15,Chicago,191,True,K3_FULL,13056,2019-05-16 13:57:15,41.88169,,-87.63953,60661,Canal St & Monroe St (*),,Canal St & Monroe St (*),IN_SERVICE,1,In Service,False,28
0,5,41,Chicago,192,True,K3_FULL,13011,2019-05-16 13:57:38,41.879255,,-87.639904,60661,Canal St & Adams St,,Canal St & Adams St,IN_SERVICE,1,In Service,False,47
0,5,6,Chicago,193,True,K3_FULL,13213,2019-05-16 13:56:11,41.841707,,-87.626938,60616,State St & 29th St,,State St & 29th St,IN_SERVICE,1,In Service,False,11
0,17,2,Chicago,194,True,K3_FULL,13339,2019-05-16 13:54:31,41.886875,,-87.62603,60601,Wabash Ave & Wacker Pl,,Wabash Ave & Wacker Pl,IN_SERVICE,1,In Service,False,19
0,39,15,Chicago,195,True,K3_FULL,13263,2019-05-16 13:58:13,41.884728,,-87.619521,60601,Columbus Dr & Randolph St,,Columbus Dr & Randolph St,IN_SERVICE,1,In Service,False,55
0,16,15,Chicago,196,True,K3_FULL,13427,2019-05-16 13:56:30,41.890573,,-87.622072,60611,Cityfront Plaza Dr & Pioneer Ct,,Cityfront Plaza Dr & Pioneer Ct,IN_SERVICE,1,In Service,False,31
0,17,1,Chicago,197,True,K3_FULL,13036,2019-05-16 13:56:17,41.882134,,-87.625125,60602,Michigan Ave & Madison St,,Michigan Ave & Madison St,IN_SERVICE,1,In Service,False,19
0,16,11,Chicago,198,True,K3_FULL,13159,2019-05-16 13:54:18,41.881892,,-87.648789,60661,Green St & Madison St,,Green St & Madison St,IN_SERVICE,1,In Service,False,27
0,26,5,Chicago,199,True,K3_FULL,13004,2019-05-16 13:54:04,41.891466,,-87.626761,60611,Wabash Ave & Grand Ave,,Wabash Ave & Grand Ave,IN_SERVICE,1,In Service,False,31
0,4,7,Chicago,200,True,K3_FULL,13090,2019-05-16 13:54:22,41.809851,,-87.616279,60653,MLK Jr Dr & 47th St,,MLK Jr Dr & 47th St,IN_SERVICE,1,In Service,False,11
0,3,8,Chicago,201,True,K3_FULL,13083,2019-05-16 13:56:03,41.82168,,-87.6216,60653,Indiana Ave & 40th St,,Indiana Ave & 40th St,IN_SERVICE,1,In Service,False,11
0,3,12,Chicago,202,True,K3_FULL,13099,2019-05-16 13:56:50,41.857499,,-87.646277,60616,Halsted St & 18th St,,Halsted St & 18th St,IN_SERVICE,1,In Service,False,15
0,3,12,Chicago,203,True,K3_FULL,13091,2019-05-16 13:58:18,41.854109,,-87.685838,60608,Western Ave & 21st St,,Western Ave & 21st St,IN_SERVICE,1,In Service,False,15
0,6,4,Chicago,204,True,K3_FULL,13101,2019-05-16 13:56:42,41.794853,,-87.618691,60637,Prairie Ave & Garfield Blvd,,Prairie Ave & Garfield Blvd,IN_SERVICE,1,In Service,False,11
0,11,4,Chicago,205,True,K3_FULL,13088,2019-05-16 13:57:40,41.857901,,-87.668745,60608,Paulina St & 18th St,,Paulina St & 18th St,IN_SERVICE,1,In Service,False,15
0,3,12,Chicago,206,True,K3_FULL,13098,2019-05-16 13:54:15,41.847203,,-87.646795,60608,Halsted St & Archer Ave,,Halsted St & Archer Ave,IN_SERVICE,1,In Service,False,15
0,0,15,Chicago,207,True,K3_FULL,13399,2019-05-16 13:53:39,41.84358,,-87.645368,60616,Emerald Ave & 28th St,,Emerald Ave & 28th St,IN_SERVICE,1,In Service,False,15
0,8,7,Chicago,208,True,K3_FULL,13307,2019-05-16 13:53:49,41.85381,,-87.665897,60608,Ashland Ave & 21st St,,Ashland Ave & 21st St,IN_SERVICE,1,In Service,False,15
0,2,9,Chicago,209,True,K3_FULL,13308,2019-05-16 13:55:48,41.849527,,-87.640591,60616,Normal Ave & Archer Ave,,Normal Ave & Archer Ave,IN_SERVICE,1,In Service,False,11
0,14,12,Chicago,210,True,K3_FULL,13061,2019-05-16 13:57:32,41.90345,,-87.667747,60622,Ashland Ave & Division St,,Ashland Ave & Division St,IN_SERVICE,1,In Service,False,27
